Timestamp,OS_vCPUs_Used,OS_Mem_MB_Used,OS_Disk_GB_Used,OS_Running_VMs,OS_Active_Computes,K8s_Active_Nodes,K8s_Running_Pods,K8s_Pod_Restarts,K8s_API_Latency_ms,Mist_Num_Devices,Mist_Num_Clients,Mist_Avg_RSSI,Fault_Label
2026-05-04T06:42:10Z,6,13312,60,3,2,1,9,462,4.73,6,0,-65,No_Fault
2026-05-04T06:42:34Z,6,13312,60,3,2,1,9,462,3.77,6,0,-65,No_Fault
2026-05-04T06:43:02Z,6,13312,60,3,2,1,9,462,3.36,0,0,-65,No_Fault
2026-05-04T06:43:54Z,6,13312,60,3,2,1,9,462,3.24,0,0,-65,No_Fault
2026-05-04T06:44:41Z,6,13312,60,3,2,1,9,462,3.83,0,0,-65,No_Fault
2026-05-04T06:45:09Z,6,13312,60,3,2,1,9,462,3.83,0,0,-65,No_Fault
2026-05-04T06:45:33Z,6,13312,60,3,2,1,9,462,4.74,6,0,-65,No_Fault
2026-05-04T06:45:57Z,6,13312,60,3,2,1,9,462,3.64,6,0,-65,No_Fault
2026-05-04T06:46:28Z,6,13312,60,3,2,1,9,462,3.58,0,0,-65,No_Fault
2026-05-04T06:47:04Z,6,13312,60,3,2,1,9,462,2.92,0,0,-65,No_Fault
2026-05-04T06:47:33Z,6,13312,60,3,2,1,9,462,3.04,6,0,-65,No_Fault
2026-05-04T06:48:01Z,6,13312,60,3,2,1,9,462,3.52,0,0,-65,No_Fault
2026-05-04T06:48:42Z,6,13312,60,3,2,1,9,462,3.25,0,0,-65,No_Fault
2026-05-04T06:49:26Z,6,13312,60,3,2,1,9,462,2.99,0,0,-65,No_Fault
2026-05-04T06:50:04Z,6,13312,60,3,2,1,9,462,3.2,0,0,-65,No_Fault
2026-05-04T06:50:28Z,6,13312,60,3,2,1,9,462,3.12,6,0,-65,No_Fault
2026-05-04T06:50:56Z,6,13312,60,3,2,1,9,462,4.89,0,0,-65,No_Fault
2026-05-04T06:51:28Z,6,13312,60,3,2,1,9,462,3.47,6,0,-65,No_Fault
2026-05-04T06:51:57Z,6,13312,60,3,2,1,9,462,3.33,6,0,-65,No_Fault
2026-05-04T06:52:35Z,6,13312,60,3,2,1,9,462,3.08,0,0,-65,No_Fault
