Timestamp,node_cpu_seconds_total,node_load_1m,node_load_5m,node_load_15m,node_memory_MemTotal_bytes,node_memory_MemAvailable_bytes,node_swap_utilization,node_disk_read_bytes_total,node_disk_written_bytes_total,node_disk_reads_completed_total,node_disk_read_time_seconds_total,node_network_receive_bytes_total,node_network_transmit_bytes_total,node_network_dropped_packets,node_network_transmit_errors,container_cpu_usage_seconds_total,container_memory_working_set_bytes,container_fs_usage_bytes,container_rx_bytes,container_tx_bytes,kube_pod_container_status_restarts_total,pod_ready_status,pod_scheduling_latency_ms,os_cpu_time,os_cpu_util_percentage,os_memory_usage_mb,os_memory_resident_mb,os_disk_read_bytes_rate,os_disk_write_bytes_rate,os_disk_read_requests_rate,os_disk_write_requests_rate,os_network_incoming_bytes_rate,os_network_outgoing_bytes_rate,os_network_packet_drop_rate,os_hypervisor_vcpus_total,os_hypervisor_vcpus_used,os_hypervisor_memory_mb_total,os_hypervisor_memory_mb_used,os_hypervisor_local_gb_total,os_hypervisor_local_gb_used,os_api_response_latency_ms,os_rabbitmq_queue_depth,os_haproxy_connections,mist_time_to_connect_ms,mist_coverage_score,mist_capacity_score,mist_roaming_score,mist_ap_cpu_utilization,mist_ap_memory_utilization,mist_ap_uptime_seconds,mist_ap_temperature_c,mist_channel_utilization_24ghz,mist_channel_utilization_5ghz,mist_channel_utilization_6ghz,mist_noise_floor_dbm,mist_rf_retries_percent,mist_client_rssi,mist_client_snr,mist_client_tx_bytes,mist_client_rx_bytes,mist_client_throughput_kbps,mist_client_connection_state,Fault_Label
2026-05-04T07:44:18Z,12000,0.14,0.28,0.41,4101849088,3013091328,0.0,0,0,0,1.2153962197385826,0,0,0,0,400,250000000,10000000,150531,120141,0,1,26.209077994246485,4760.0,47.6,6436,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,40.31249542470353,0,43,294.7701117610813,98.44859276045463,100,98.90400167495359,14.47929907887455,39.447234723251725,86400,45.88980704753532,9.98300252848377,15.550551441826954,4.87109746142943,-95,1.853963020358449,-59.901762085680254,35.098237914319746,5000000,15000000,11018.643645179607,1,No_Fault
2026-05-04T07:44:36Z,12015,0.35,0.32,0.42,4101849088,3015700480,0.0,0,0,0,1.2431216078963296,0,0,0,0,405,250000000,10000000,150374,120978,0,1,22.038171475819446,860.0,8.6,6409,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,24.72723288311893,0,44,205.13802902462322,99.93657727221144,100,96.71440643476213,16.158883324804794,38.76649524895575,86415,45.25861278243059,14.918080255524142,19.3951972053846,4.08902020835557,-95,2.2891292868872712,-58.6888476137795,36.3111523862205,5010000,15030000,11497.539806782002,1,No_Fault
2026-05-04T07:44:54Z,12030,0.76,0.41,0.45,4101849088,3017687040,0.0,0,0,0,1.2902566675447726,0,0,0,0,410,250000000,10000000,150826,120771,0,1,15.48088185367985,0.0,0.0,6389,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,26.49831486539574,0,45,413.9141798518517,99.21943068573705,100,98.86839472243247,16.069501209839988,40.64387772897546,86430,45.386028869038284,12.64555038286337,22.62396082533484,5.163951308132465,-95,3.7669488977716914,-54.078226308635834,40.921773691364166,5020000,15060000,11725.731211301118,1,No_Fault
2026-05-04T07:45:12Z,12045,0.54,0.38,0.44,4101849088,3017150464,0.0,0,0,0,1.2197923702870437,0,0,0,0,415,250000000,10000000,150208,120043,0,1,16.60631490206096,3329.9999999999995,33.3,6464,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,37.63280728188537,0,48,439.1476527737195,98.82944950106544,100,96.2879814815651,13.695043406707454,39.547858843214456,86445,45.09054039456783,9.445036506116157,22.96627334289399,4.989397309449998,-95,2.8508894241483764,-55.711110825616046,39.288889174383954,5030000,15090000,13815.20307422581,1,No_Fault
2026-05-04T07:45:30Z,12060,0.42,0.36,0.43,4101849088,3019628544,0.0,0,0,0,1.2105011476088083,0,0,0,0,420,250000000,10000000,150802,120104,0,1,13.757419049996297,960.0,9.6,6394,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,47.89362789181891,0,41,411.1092249133659,99.06330271041051,100,96.71969505891133,15.283612302245416,41.82912501820371,86460,45.42287597066278,7.832760409534033,16.07663104882931,4.1688147813757634,-95,2.9937077102286582,-55.62749328470192,39.37250671529808,5040000,15120000,14803.189984911172,1,No_Fault
2026-05-04T07:45:47Z,12075,0.3,0.34,0.42,4101849088,3020931072,0.0,0,0,0,1.297421705546352,0,0,0,0,425,250000000,10000000,150836,120157,6,0,7879.613379931324,3180.0,31.8,6414,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,22.80909423346,0,46,494.97165491964864,98.93796907936951,100,99.613463467316,13.04862437407521,41.55924505378155,86475,45.2760855249946,5.775029513253288,21.619685222606897,4.198998846424282,-95,2.7194115149956746,-52.34201011395423,42.65798988604577,5050000,15150000,9288.582119146075,1,K8s_Pod_Crash
2026-05-04T07:46:07Z,12090,0.29,0.33,0.42,4101849088,3016966144,0.0,0,0,0,1.274075757992538,0,0,0,0,430,250000000,10000000,150472,120586,7,0,7774.005915044482,8690.0,86.9,6535,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,35.44355349866855,0,41,292.6288067199729,99.45294741385923,100,99.67358380232916,13.937199961823575,38.81455944835828,86490,45.03493531194053,7.469754987679086,23.21828122959895,5.7903750083627,-95,1.595430328884066,-54.9483193227718,40.0516806772282,5060000,15180000,12184.59869344504,1,K8s_Pod_Crash
2026-05-04T07:46:25Z,12105,0.3,0.33,0.42,4101849088,3022503936,0.0,0,0,0,1.2611932929609255,0,0,0,0,435,250000000,10000000,150090,120659,8,0,2996.8830227731796,5500.0,55.0,6434,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,30.66643516068377,0,46,458.6933949098639,98.70210771196602,100,99.51516647299933,13.52940109612342,39.09846368843958,86505,45.04997973647513,6.364176182116713,23.191568037169812,4.900810240344402,-95,2.9954544436366284,-58.063937257921495,36.936062742078505,5070000,15210000,8157.335873254516,1,K8s_Pod_Crash
2026-05-04T07:46:45Z,12120,0.22,0.31,0.41,4101849088,3012734976,0.0,0,0,0,1.2663967285033841,0,0,0,0,440,250000000,10000000,150349,120904,14,0,4880.1975436278335,6809.999999999999,68.1,6541,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,35.82707882477392,0,48,315.83268037930236,99.96509300138388,100,96.76302050367522,14.66710930008858,41.17817647287409,86520,45.3538221847922,6.870075602203029,15.154486792271102,4.71110080814456,-95,3.6166610625092948,-58.61527736836933,36.38472263163067,5080000,15240000,14295.517571932942,1,K8s_Pod_Crash
2026-05-04T07:47:02Z,12135,0.15,0.29,0.4,4101849088,3015385088,0.0,0,0,0,1.2615767351738534,0,0,0,0,445,250000000,10000000,150822,120949,9,0,2893.743553681471,1430.0,14.3,6437,9897,0,0,0,0,0,0,0,12,6,31890,13312,390,60,32.02195309812248,0,42,405.65257237984645,98.14645188717442,100,97.38825840453308,16.601101808856846,39.410867847979816,86535,45.86973459930818,8.932574382941342,24.954771629432987,5.2031496379571704,-95,3.4863397879661813,-63.23402415086396,31.76597584913604,5090000,15270000,12639.689546324498,1,K8s_Pod_Crash
