Timestamp,node_cpu_seconds_total,node_load_1m,node_load_5m,node_load_15m,node_memory_MemTotal_bytes,node_memory_MemAvailable_bytes,node_swap_utilization,node_disk_read_bytes_total,node_disk_written_bytes_total,node_disk_reads_completed_total,node_disk_read_time_seconds_total,node_network_receive_bytes_total,node_network_transmit_bytes_total,node_network_dropped_packets,node_network_transmit_errors,container_cpu_usage_seconds_total,container_memory_working_set_bytes,container_fs_usage_bytes,container_rx_bytes,container_tx_bytes,kube_pod_container_status_restarts_total,pod_ready_status,pod_scheduling_latency_ms,os_cpu_time,os_cpu_util_percentage,os_memory_usage_mb,os_memory_resident_mb,os_disk_read_bytes_rate,os_disk_write_bytes_rate,os_disk_read_requests_rate,os_disk_write_requests_rate,os_network_incoming_bytes_rate,os_network_outgoing_bytes_rate,os_network_packet_drop_rate,os_hypervisor_vcpus_total,os_hypervisor_vcpus_used,os_hypervisor_memory_mb_total,os_hypervisor_memory_mb_used,os_hypervisor_local_gb_total,os_hypervisor_local_gb_used,os_api_response_latency_ms,os_rabbitmq_queue_depth,os_haproxy_connections,mist_time_to_connect_ms,mist_coverage_score,mist_capacity_score,mist_roaming_score,mist_ap_cpu_utilization,mist_ap_memory_utilization,mist_ap_uptime_seconds,mist_ap_temperature_c,mist_channel_utilization_24ghz,mist_channel_utilization_5ghz,mist_channel_utilization_6ghz,mist_noise_floor_dbm,mist_rf_retries_percent,mist_client_rssi,mist_client_snr,mist_client_tx_bytes,mist_client_rx_bytes,mist_client_throughput_kbps,mist_client_connection_state,app_http_response_code,app_request_latency_ms,app_throughput_kbps,Fault_Label
2026-05-01T22:48:42Z,12000,0.6339940491312432,0.5493509611901122,0.4290479817790618,16000000000,8595429760,0.0,135680,196096,13,1.2537330021390067,5102,8276,0,0,400,250000000,10000000,150400,120739,0,1,27.741230124809352,692.7571512510559,6.92757151251056,4464,8189,265,383,13,19,5102,8276,0,64,14,128000,35864,1000,250,27.304830590019364,0,47,302.4464247181371,98.31728691812191,100,98.83571219852892,15.488998789601533,38.116872039868475,86400,45.423705529814285,6.305850459336764,18.10872518871441,5.336664032407531,-95,3.30191857600337,-52.12276205876489,42.87723794123511,5000000,15000000,13543.348882311955,1,200,75.95620802673608,13543.348882311955,No_Fault
2026-05-01T22:48:57Z,12005,0.4531982288201001,0.4071499715867806,0.4229575112047337,16000000000,8326136826,0.0,67072,94720,9,1.2694164795997265,5682,6904,0,0,402,250000000,10000000,150487,120293,0,1,12.534466337408984,765.4606764541173,7.654606764541173,4597,8302,131,185,9,7,5682,6904,0,64,12,128000,35118,1000,250,28.152392688410483,0,49,362.7041219679988,98.61494430353551,100,96.4833541782108,14.36242444653874,40.65442670770214,86415,45.03195774259607,8.919217280735062,18.84831043096415,5.837370993868672,-95,3.269235865123583,-60.580562928419646,34.419437071580354,5003000,15009000,8932.951565306432,1,200,71.89379267754299,8932.951565306432,No_Fault
2026-05-01T22:49:12Z,12010,0.7905695110048419,0.5830538345130817,0.48040384020867183,16000000000,9990181484,0.0,200704,185344,17,1.2686757416372407,6790,6297,0,0,404,250000000,10000000,150445,120197,0,1,21.220538226649712,1029.6005834611678,10.296005834611679,4837,8210,392,362,17,16,6790,6297,0,64,13,128000,39504,1000,250,45.088595369085795,0,47,407.8431802687713,99.11862280335451,100,99.32849431595608,15.057651600372782,41.16535485380267,86430,45.41421311425634,14.904357553964392,22.914549605530063,5.519376119632381,-95,1.785037726686984,-62.56289082292048,32.43710917707952,5006000,15018000,11339.233668440742,1,200,72.54655770499322,11339.233668440742,No_Fault
2026-05-01T22:49:27Z,12015,0.7221693745007572,0.5203412160052457,0.35519755507536876,16000000000,9841179321,0.0,179712,60416,19,1.2489310805129148,9156,9058,0,0,406,250000000,10000000,150491,120328,0,1,14.07110259747347,816.1437735768651,8.16143773576865,4729,8463,351,118,19,20,9156,9058,0,64,13,128000,33213,1000,250,36.72709114381517,0,43,479.71253059414767,99.79045666157441,100,98.56316900266098,16.590915767595913,41.33694940601412,86445,45.4156450074055,12.312258356422543,23.311479853654838,4.332604331306723,-95,2.6264083666500397,-55.3837432361841,39.6162567638159,5009000,15027000,10096.418703265252,1,200,56.284759515509236,10096.418703265252,No_Fault
2026-05-01T22:49:42Z,12020,0.6093314992123493,0.5758228092553481,0.30630100409448513,16000000000,8174185748,0.0,141312,161280,11,1.229456182260382,6503,9708,0,0,408,250000000,10000000,150660,120407,0,1,14.317309209072143,560.7896387163853,5.607896387163853,4476,8013,276,315,11,19,6503,9708,0,64,13,128000,34551,1000,250,26.278996875179228,0,45,323.55520684462834,99.38754420153715,100,96.63757705326692,15.253761866918484,40.425389602054125,86460,45.19237928238826,11.41321827921578,24.356850655026417,5.099230607638538,-95,3.0290012764677847,-61.827657075215406,33.172342924784594,5012000,15036000,8735.244038954266,1,200,55.70952117314124,8735.244038954266,No_Fault
2026-05-01T22:49:57Z,12025,0.7989403871593228,0.569563572461715,0.4560424339844496,16000000000,9066192255,0.0,128512,147968,8,1.2073549614316053,9030,9991,0,0,410,250000000,10000000,150377,120189,0,1,17.38430482541301,956.7625439177043,9.567625439177043,4227,8304,251,289,8,19,9030,9991,0,64,14,128000,39625,1000,250,42.920022567661874,0,46,202.7657352493175,99.19990910807381,100,98.14535904524386,14.116554153969236,41.12042077115922,86475,45.414183007478265,13.234164313773888,17.4761241841168,5.881872203697642,-95,2.4998169795589646,-56.13695212712634,38.86304787287366,5015000,15045000,12208.41057346066,1,200,74.56875984744916,12208.41057346066,No_Fault
2026-05-01T22:50:12Z,12030,0.4901912066943828,0.5117420151362126,0.4081228466818675,16000000000,9943357637,0.0,204288,244736,7,1.272966196420418,6238,7577,0,0,412,250000000,10000000,150200,120811,0,1,25.72168126280183,1155.22234204208,11.552223420420802,4528,8194,399,478,7,16,6238,7577,0,64,12,128000,30179,1000,250,36.930614450708944,0,40,404.4944955510731,98.17993027509803,100,96.449882055584,14.89576649083011,38.099201020197626,86490,45.31126686199871,13.380556525588549,17.72941522925087,4.081914649303212,-95,1.998476916722244,-51.87147392125116,43.12852607874884,5018000,15054000,9859.791620453227,1,200,41.55884060885501,9859.791620453227,No_Fault
2026-05-01T22:50:27Z,12035,0.6298918892262256,0.30059538214716974,0.46863837937763525,16000000000,9816703157,0.0,117248,223744,5,1.2942743370486867,7642,6566,0,0,414,250000000,10000000,150339,120189,0,1,22.226159435483225,888.3027558144593,8.883027558144592,4077,8355,229,437,5,11,7642,6566,0,64,13,128000,36349,1000,250,20.087860865581607,0,44,380.224215697669,98.9277562439302,100,97.81979338364452,13.957347865169737,38.09119678788116,86505,45.29082444447235,9.712349571025229,19.45367902987323,5.903565846285705,-95,1.6252647881839342,-61.69075306839184,33.30924693160816,5021000,15063000,12894.290316778377,1,200,73.29533721422544,12894.290316778377,No_Fault
2026-05-01T22:50:42Z,12040,0.4171197622608813,0.49044024374724204,0.35652450509354583,16000000000,9619154377,0.0,213504,246272,10,1.2996109853953868,8546,7284,0,0,416,250000000,10000000,150379,120490,0,1,24.81418867624192,568.7155793883604,5.687155793883604,4844,8164,417,481,10,9,8546,7284,0,64,12,128000,37280,1000,250,36.734213647266344,0,43,311.5306990190138,99.07315933272639,100,97.10084494013527,13.316846845799073,41.850780613228586,86520,45.26598396579383,5.551494344454103,16.5054166773278,5.450207263700302,-95,1.9743646701471342,-51.755720174808275,43.244279825191725,5024000,15072000,9291.694116772944,1,200,60.44305835537818,9291.694116772944,No_Fault
2026-05-01T22:50:57Z,12045,0.5777421504670532,0.44870183423517934,0.35451402350630506,16000000000,8358602242,0.0,149504,155648,13,1.2262583196410946,8621,5513,0,0,418,250000000,10000000,150938,120043,0,1,13.834087610521763,948.7332493735863,9.487332493735863,4131,8213,292,304,13,5,8621,5513,0,64,13,128000,33191,1000,250,40.02437685146532,0,45,227.68550944151792,98.05551242908258,100,98.83706811821456,16.85765260746861,40.478337846921384,86535,45.80074702827347,10.374297844360223,18.004954210600307,5.221049981307506,-95,1.7499345950314065,-63.445319529790446,31.554680470209554,5027000,15081000,9676.717397780003,1,200,46.18427517475742,9676.717397780003,No_Fault
